Dependency,Dependent,Fees,Devs
ethers-io,agoraxyz,0.0,0.0
prettier-solidity,agoraxyz,0.0,0.0
ethers-io,agoraxyz,0.0,0.0
wagmi-dev,agoraxyz,0.0,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
hardhat-tracer-zemse,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
hardhat-tracer-zemse,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
hardhat-tracer-zemse,1-inch,0.05670242060312299,0.0
prettier-solidity,1-inch,0.05670242060312299,0.0
typechain-dethcrypto,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
hardhat-tracer-zemse,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
hardhat-tracer-zemse,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
hardhat-tracer-zemse,1-inch,0.05670242060312299,0.0
prettier-solidity,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
